,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
81,0.0367394328305182,0.0361227731247831,0.035516276612142,0.0349197820302937,0.034333130467738,0.0337561653365318,0.0331887323451093,0.032630679471181,0.0320818569347194,0.0315421171710408,0.0310113148039931,0.0304893066192586,0.029975951537778,0.0294711105893068,0.0289746468861077,0.028486425596789,0.0280063139202936,0.027534181060047,0.0270698981982673,0.0266133384704465,0.0261643769400041,0.0257228905731224
82,0.0410842511853233,0.0404145594530324,0.0397555624542336,0.0391070965675091,0.0384690004424497,0.0378411149757701,0.0372232832874079,0.0366153506966211,0.0360171646980917,0.0354285749380506,0.0348494331904293,0.034279593333052,0.0337189113238761,0.0331672451772904,0.0326244549404781,0.0320904026698567,0.0315649524075978,0.0310479701582388,0.0305393238653897,0.0300388833885454,0.0295465204800071,0.0290621087619205
83,0.0472796030713015,0.0465706106617289,0.0458720003580168,0.0451836275711599,0.0445053495038337,0.0438370251349318,0.0431785152040156,0.0425296821956876,0.0418903903238965,0.0412605055161829,0.0406398953978743,0.0400284292762371,0.0394259781245952,0.0388324145664185,0.0382476128593951,0.0376714488794879,0.0371038001049866,0.0365445456005597,0.0359935660013137,0.0354507434968648,0.0349159618154291,0.0343891062079381
84,0.0530821431004394,0.0523143155261865,0.0515573003784898,0.0508109538538487,0.0500751338178828,0.049349699793112,0.0486345129465971,0.0479294360774492,0.0472343336042187,0.0465490715521717,0.0458735175404635,0.0452075407692172,0.0445510120065151,0.0439038035753119,0.0432657893402767,0.0426368446945708,0.0420168465465703,0.0414056733065379,0.040803204873253,0.0402093226206045,0.0396239093841551,0.03904684944768
85,0.0610153014521286,0.0602026690682221,0.0594005281674333,0.0586087520815932,0.0578272154388245,0.0570557941566134,0.0562943654347266,0.0555428077479799,0.0548010008388645,0.0540688257100413,0.0533461646167059,0.052632901058833,0.0519289197733074,0.0512341067259447,0.0505483491034123,0.0498715353050518,0.0492035549346127,0.0485442987919,0.0478936588643425,0.0472515283184881,0.0466178014914282,0.0459923738821594
86,0.0689096096256165,0.0680369543623887,0.0671749657783818,0.0663235231777487,0.0654825069857873,0.0646517987448841,0.0638312811102857,0.0630208378456997,0.0622203538187349,0.0614297149961839,0.0606488084391579,0.0598775222980765,0.0591157458075197,0.0583633692809477,0.0576202841052946,0.0568863827354405,0.0561615586885676,0.0554457065384063,0.0547387219093749,0.0540405014706207,0.0533509429299623,0.0526699450277441
87,0.0778111486058532,0.0768808543537012,0.0759612429738301,0.0750522022509408,0.0741536208989147,0.0732653885592878,0.072387395799547,0.0715195341112513,0.0706616959079873,0.0698137745231601,0.068975664207628,0.0681472601271841,0.0673284583598913,0.0665191558932744,0.0657192506213741,0.0649286413416697,0.0641472277518715,0.0633749104465905,0.0626115909138891,0.0618571715317159,0.0611115555642306,0.0603746471580215
88,0.0904811939237702,0.0895227731024993,0.088574033432179,0.0876348870576765,0.0867052467108145,0.0857850257111068,0.0848741379663628,0.0839724979731648,0.0830800208172233,0.0821966221736112,0.0813222183068788,0.080456726071056,0.0796000629095418,0.0787521468548834,0.0779128965284509,0.0770822311400065,0.0762600704871733,0.075446334954806,0.0746409455142648,0.0738438237225969,0.0730548917216271,0.0722740722369589
89,0.10238971919413,0.10138833429432,0.100396224919641,0.0994133152524326,0.098439529897142,0.0974747938820649,0.0965190326609672,0.0955721721146114,0.0946341385521682,0.0937048587125344,0.0927842597655461,0.0918722693130964,0.0909688153901554,0.0900738264656971,0.0891872314435344,0.088308959663063,0.0874389408999174,0.0865771053665415,0.0857233837126724,0.0848777070257435,0.084040006831206,0.0832102150927706
90,0.116620178147504,0.115576444548861,0.114541484106319,0.113515233213965,0.112497628545217,0.111488607055102,0.110488105982425,0.109496062851874,0.108512415476032,0.107537101957316,0.106570060689824,0.105611230361124,0.104660549953944,0.1037179587478,0.102783396320546,0.101856802549854,0.100938117614614,0.100027281996268,0.0991242364800842,0.0982289221563381,0.0973412804214554,0.0964612529790687
